USER COMMAND,INSTRUCTIONS,INPUT,XML BEHAVIOR TREE OUTPUT
Navigate through a maze to reach the end point.,"Use the following behaviors to generate XML Behavior tree based on the user command: navigate_maze: Subtree node - Represents a behavior tree for navigating through a maze.
reach_end_point: Action node - Moves the agent to the designated end point.",Navigate through a maze to reach the end point.,"
<BehaviorTree>
<Sequence>
<Subtree>navigate_maze</Subtree>
<Action>reach_end_point</Action>
</Sequence>
</BehaviorTree>"
Scan the environment for resources and collect them efficiently.,"Use the following behaviors to generate XML Behavior tree based on the user command: scan_for_resources: Action node - Scans the surroundings for resources and updates the agent's knowledge.
collect_resources: Subtree node - Represents a behavior tree for efficient resource collection and management.",Scan the environment for resources and collect them efficiently.,"
<BehaviorTree>
<Sequence>
<Action>scan_for_resources</Action>
<Subtree>collect_resources</Subtree>
</Sequence>
</BehaviorTree>"
Find and retrieve an object from a specific location using a designated path.,"Use the following behaviors to generate XML Behavior tree based on the user command: find_object: Action node - Utilizes communication and mapping to locate the object.
retrieve_object: Subtree node - Represents a behavior tree for retrieving the object using the designated path.",Find and retrieve an object from a specific location using a designated path.,"
<BehaviorTree>
<Sequence>
<Action>find_object</Action>
<Subtree>retrieve_object</Subtree>
</Sequence>
</BehaviorTree>"
Coordinate with other robots to form a pyramid structure.,"Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Communicates with other robots to establish the pyramid structure.
create_pyramid: Subtree node - Represents a behavior tree for coordinating movements to form the pyramid structure.",Coordinate with other robots to form a pyramid structure.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Subtree>create_pyramid</Subtree>
</Sequence>
</BehaviorTree>"
Patrol a designated path and respond to environmental changes.,"Use the following behaviors to generate XML Behavior tree based on the user command: patrol_path: Subtree node - Represents a behavior tree for patrolling a designated path.
respond_to_changes: Action node - Monitors the environment for any changes and responds accordingly.",Patrol a designated path and respond to environmental changes.,"
<BehaviorTree>
<Sequence>
<Subtree>patrol_path</Subtree>
<Action>respond_to_changes</Action>
</Sequence>
</BehaviorTree>"
Complete a series of tasks in a specific order.,Use the following behaviors to generate XML Behavior tree based on the user command: perform_tasks: Subtree node - Represents a behavior tree for completing a series of tasks in a specific order.,Complete a series of tasks in a specific order.,"
<BehaviorTree>
<Sequence>
<Subtree>perform_tasks</Subtree>
</Sequence>
</BehaviorTree>"
Find and collect resources in a given area until a certain threshold is met.,Use the following behaviors to generate XML Behavior tree based on the user command: find_resources: Action node - Uses the agent's sensors to locate resources in the assigned area. collect_resources: Action node - Collects the resources found by the agent. check_resource_threshold: Condition node - Checks if the collected amount of resources meets the specified threshold. continue_collecting: Selector node - Continues to search and collect resources until the threshold is met.,Find and collect resources in a given area until a certain threshold is met.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>find_resources</Action>
<Action>collect_resources</Action>
</Sequence>
<Sequence>
<Condition>check_resource_threshold</Condition>
<Action>continue_collecting</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Form a defensive wall with surrounding swarm robots to protect a target location.,Use the following behaviors to generate XML Behavior tree based on the user command: swarm_defend: Action node - Commands the agent to form a defensive wall with other swarm robots. check_distance_to_target: Condition node - Checks the distance between the agent and the target location. move_closer_to_target: Action node - Moves the agent closer to the target location. continue_defending: Selector node - Continues to defend the target location until the distance is close enough.,Form a defensive wall with surrounding swarm robots to protect a target location.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>swarm_defend</Action>
</Sequence>
<Sequence>
<Condition>check_distance_to_target</Condition>
<Action>move_closer_to_target</Action>
<Action>continue_defending</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Coordinate with other robots to build a structure by carrying and placing materials in designated locations.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_materials: Subtree node - Represents a behavior tree for coordinating with other robots to carry and place materials. carry_materials: Action node - Instructs the agent to carry materials to a designated location. place_materials: Action node - Instructs the agent to place the carried materials in a designated location.,Coordinate with other robots to build a structure by carrying and placing materials in designated locations.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_materials</Action>
<Action>carry_materials</Action>
<Action>place_materials</Action>
</Sequence>
</BehaviorTree>"
Follow a leader robot while avoiding obstacles in the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_leader: Action node - Instructs the agent to follow the leader robot in a predefined formation. avoid_obstacles: Action node - Uses the agent's sensors to detect and avoid obstacles in the environment.,Follow a leader robot while avoiding obstacles in the environment.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>follow_leader</Action>
</Sequence>
<Action>avoid_obstacles</Action>
</Selector>
</BehaviorTree>"
Collaboratively explore and map a new environment.,Use the following behaviors to generate XML Behavior tree based on the user command: explore: Action node - Commands the agent to explore the environment and map out new areas. update_map: Action node - Updates the map with any new information discovered by the agent.,Collaboratively explore and map a new environment.,"
<BehaviorTree>
<Sequence>
<Action>explore</Action>
<Action>update_map</Action>
</Sequence>
</BehaviorTree>"
Work together to push a heavy object to a specific location.,Use the following behaviors to generate XML Behavior tree based on the user command: push_object: Action node - Instructs the agent to push the heavy object towards the target location. check_distance_to_object: Condition node - Checks the distance between the agent and the heavy object. move_closer_to_object: Action node - Moves the agent closer to the heavy object if necessary. continue_pushing: Selector node - Continues to push the object until it reaches the target location.,Work together to push a heavy object to a specific location.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>push_object</Action>
</Sequence>
<Sequence>
<Condition>check_distance_to_object</Condition>
<Action>move_closer_to_object</Action>
<Action>continue_pushing</Action>
</Sequence>
</Selector>
</BehaviorTree>"
